2022-10-25 10:23:04 status half-configured libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 10:23:04 status installed libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 10:23:04 configure libxau6:amd64 1:1.0.9-1 <none>
2022-10-25 10:23:04 status unpacked libxau6:amd64 1:1.0.9-1
2022-10-25 10:23:04 status half-configured libxau6:amd64 1:1.0.9-1
2022-10-25 10:23:04 status installed libxau6:amd64 1:1.0.9-1
2022-10-25 10:23:04 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-10-25 10:23:04 status unpacked libpsl5:amd64 0.21.0-1.2
2022-10-25 10:23:04 status half-configured libpsl5:amd64 0.21.0-1.2
2022-10-25 10:23:04 status installed libpsl5:amd64 0.21.0-1.2
2022-10-25 10:23:04 configure libicu67:amd64 67.1-7 <none>
2022-10-25 10:23:04 status unpacked libicu67:amd64 67.1-7
2022-10-25 10:23:04 status half-configured libicu67:amd64 67.1-7
2022-10-25 10:23:04 status installed libicu67:amd64 67.1-7
2022-10-25 10:23:04 configure nginx:amd64 1.23.2-1~bullseye <none>
2022-10-25 10:23:04 status unpacked nginx:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 status half-configured nginx:amd64 1.23.2-1~bullseye
2022-10-25 10:23:05 status installed nginx:amd64 1.23.2-1~bullseye
2022-10-25 10:23:05 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-10-25 10:23:05 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:23:05 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:23:05 status installed libbrotli1:amd64 1.0.9-2+b2
2022-10-25 10:23:05 configure libnghttp2-14:amd64 1.43.0-1 <none>
